gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
male,group B,some college,free/reduced,none,76,82,82
female,group D,some college,standard,none,100,100,88
female,group E,high school,standard,completed,54,67,63
male,group E,some college,free/reduced,none,71,65,70
female,group B,some high school,free/reduced,completed,26,35,35
female,group A,associates degree,free/reduced,none,55,62,65
female,group D,associates degree,standard,none,57,71,60
female,group E,bachelors degree,standard,completed,72,73,76
female,group B,masters degree,free/reduced,none,73,79,58
female,group E,some high school,free/reduced,none,63,66,60
female,group D,some college,standard,none,17,34,23
female,group D,associates degree,standard,none,68,68,68
male,group C,some high school,standard,completed,68,72,83
male,group B,associates degree,standard,none,82,91,88
male,group D,some college,standard,completed,74,76,80
male,group C,associates degree,free/reduced,none,63,54,64
female,group C,masters degree,standard,none,78,93,87
female,group E,masters degree,free/reduced,completed,33,24,36
male,group E,bachelors degree,standard,none,61,62,64
male,group C,bachelors degree,free/reduced,none,52,66,55
male,group E,associates degree,free/reduced,none,66,81,66
female,group D,some high school,standard,none,35,36,34
female,group A,masters degree,standard,none,87,83,80
female,group D,some high school,standard,none,62,73,64
female,group C,some high school,standard,none,77,80,71
male,group C,associates degree,free/reduced,none,72,71,75
male,group D,some high school,free/reduced,none,82,86,88
female,group E,masters degree,standard,none,35,39,47
male,group E,some college,standard,none,64,70,71
male,group C,bachelors degree,standard,completed,86,89,83
female,group B,some college,free/reduced,completed,61,66,67
female,group E,some high school,standard,none,49,54,58
female,group D,some college,standard,completed,62,65,51
female,group E,masters degree,standard,none,61,57,59
female,group D,masters degree,standard,none,61,58,54
female,group C,some high school,standard,none,67,60,68
female,group E,associates degree,free/reduced,none,82,94,94
female,group D,some college,standard,none,56,52,60
male,group C,associates degree,standard,none,63,68,49
female,group B,associates degree,free/reduced,none,66,71,67
male,group D,high school,free/reduced,completed,65,59,65
female,group B,some high school,standard,none,45,49,46
male,group B,bachelors degree,standard,none,56,78,68
female,group A,masters degree,standard,completed,65,73,65
female,group E,masters degree,standard,none,76,76,91
male,group D,some high school,standard,none,45,49,42
male,group B,bachelors degree,standard,completed,80,83,85
male,group A,masters degree,standard,completed,54,80,71
female,group C,some high school,free/reduced,completed,46,49,55
female,group D,masters degree,standard,completed,59,46,53
male,group B,associates degree,free/reduced,completed,98,100,100
male,group E,some college,standard,completed,59,69,63
male,group A,some college,free/reduced,none,87,90,77
male,group B,masters degree,free/reduced,none,35,41,33
female,group E,high school,free/reduced,none,100,100,100
male,group B,bachelors degree,free/reduced,none,73,90,78
female,group D,bachelors degree,free/reduced,completed,63,66,70
female,group D,bachelors degree,standard,none,68,72,62
female,group D,associates degree,standard,none,72,83,74
female,group A,bachelors degree,standard,none,65,75,73
female,group D,some college,free/reduced,completed,74,73,81
female,group E,associates degree,free/reduced,none,73,76,69
male,group B,some high school,standard,completed,64,82,73
female,group C,bachelors degree,standard,none,42,44,43
male,group E,bachelors degree,standard,none,61,55,72
female,group E,some high school,free/reduced,none,37,37,42
female,group D,bachelors degree,standard,none,68,72,81
male,group A,some high school,standard,completed,60,58,64
female,group B,associates degree,standard,completed,43,45,35
female,group A,some college,standard,completed,55,51,53
female,group B,some high school,free/reduced,none,65,78,76
female,group B,high school,free/reduced,none,58,61,62
male,group A,some high school,free/reduced,completed,36,46,53
female,group E,bachelors degree,standard,completed,39,45,39
male,group B,associates degree,standard,none,74,76,67
female,group A,masters degree,standard,none,52,72,57
male,group B,associates degree,free/reduced,completed,54,70,68
male,group C,masters degree,standard,none,65,76,67
male,group E,some high school,standard,none,75,71,75
female,group D,some college,standard,none,75,94,94
female,group B,high school,free/reduced,none,66,63,79
female,group C,associates degree,standard,completed,62,63,54
male,group D,bachelors degree,free/reduced,completed,65,74,67
male,group D,masters degree,standard,none,65,57,76
male,group B,bachelors degree,standard,none,53,41,41
female,group A,some college,standard,none,73,81,95
male,group B,masters degree,standard,none,85,83,80
male,group C,associates degree,standard,none,96,100,97
female,group D,some high school,standard,none,100,100,100
female,group B,bachelors degree,standard,none,51,51,50
male,group A,some college,free/reduced,none,61,51,66
male,group B,associates degree,standard,none,100,100,100
male,group E,associates degree,free/reduced,none,63,74,72
female,group A,associates degree,standard,none,65,66,73
male,group C,associates degree,free/reduced,none,47,47,54
female,group D,masters degree,standard,completed,64,74,75
female,group B,associates degree,standard,none,98,100,94
female,group A,bachelors degree,standard,none,85,86,98
male,group E,some college,standard,completed,45,57,63
male,group A,masters degree,standard,completed,57,62,61
male,group E,associates degree,free/reduced,none,50,60,41
female,group C,high school,free/reduced,completed,51,63,49
male,group D,high school,free/reduced,none,24,42,48
female,group C,some college,free/reduced,none,71,74,76
male,group B,some high school,standard,none,89,81,92
female,group A,some high school,standard,completed,73,80,65
female,group E,masters degree,standard,completed,84,85,84
female,group E,masters degree,standard,none,84,95,76
female,group A,masters degree,standard,none,66,57,52
male,group A,some high school,standard,none,50,55,67
female,group B,high school,standard,none,63,62,68
female,group C,some high school,standard,none,42,48,37
male,group E,bachelors degree,free/reduced,completed,62,69,69
female,group B,associates degree,free/reduced,completed,33,29,19
male,group C,masters degree,standard,completed,76,82,77
male,group B,high school,free/reduced,completed,70,74,78
male,group E,some college,free/reduced,none,71,76,81
female,group A,some college,standard,completed,77,89,88
male,group A,associates degree,standard,none,69,81,71
male,group C,high school,standard,none,98,89,99
female,group D,some high school,free/reduced,none,73,76,81
female,group C,some high school,free/reduced,none,54,59,59
male,group D,bachelors degree,standard,none,69,62,64
male,group B,bachelors degree,standard,none,30,28,36
male,group B,some high school,standard,completed,55,62,56
male,group E,some college,standard,none,64,54,60
male,group D,masters degree,standard,none,73,77,73
female,group E,some college,free/reduced,completed,56,63,52
female,group A,bachelors degree,free/reduced,none,50,53,45
female,group D,associates degree,free/reduced,none,35,40,39
male,group C,some high school,free/reduced,none,61,56,58
female,group A,bachelors degree,free/reduced,none,92,100,95
male,group A,bachelors degree,standard,none,66,70,69
male,group C,masters degree,standard,none,72,86,84
male,group A,some high school,standard,none,49,58,62
female,group D,masters degree,free/reduced,none,38,48,45
male,group E,some high school,standard,none,45,49,50
female,group A,masters degree,free/reduced,none,67,79,62
male,group D,some college,standard,none,27,42,37
female,group B,associates degree,standard,completed,41,54,59
female,group D,associates degree,standard,none,53,63,65
male,group E,some high school,standard,none,48,47,54
female,group D,high school,free/reduced,completed,35,37,41
female,group C,bachelors degree,free/reduced,none,66,87,75
male,group E,bachelors degree,standard,none,72,67,71
male,group B,some high school,standard,none,74,82,81
male,group C,masters degree,standard,completed,51,52,50
male,group D,high school,standard,completed,75,77,80
male,group E,some college,standard,none,84,96,93
female,group B,masters degree,free/reduced,completed,66,75,76
female,group C,masters degree,standard,none,60,66,60
female,group B,some high school,standard,completed,69,77,81
male,group D,some high school,standard,none,60,65,53
male,group B,bachelors degree,standard,none,55,54,60
female,group A,some high school,standard,completed,68,84,79
female,group C,some high school,standard,none,74,72,66
male,group B,some high school,standard,none,85,83,83
female,group D,bachelors degree,standard,completed,61,62,67
male,group D,some college,standard,none,58,58,67
female,group B,some college,standard,none,63,65,64
male,group D,some high school,standard,none,43,57,53
female,group E,bachelors degree,free/reduced,completed,81,90,79
male,group E,some college,standard,completed,88,100,100
male,group E,masters degree,standard,none,63,67,65
male,group A,some college,standard,completed,50,65,48
male,group B,some college,standard,none,56,56,62
male,group A,bachelors degree,standard,completed,62,56,70
male,group D,masters degree,free/reduced,none,94,92,96
female,group A,bachelors degree,free/reduced,none,61,58,56
male,group D,some high school,standard,completed,62,57,59
male,group D,associates degree,standard,none,44,48,53
female,group C,some college,standard,none,73,79,72
male,group E,associates degree,free/reduced,none,56,69,72
male,group D,bachelors degree,standard,completed,45,55,51
male,group C,bachelors degree,standard,none,59,54,64
female,group E,bachelors degree,standard,none,87,90,100
female,group D,associates degree,standard,none,57,72,67
male,group D,bachelors degree,standard,none,77,73,70
male,group A,some high school,standard,none,70,76,70
female,group A,bachelors degree,standard,completed,90,98,89
male,group E,high school,free/reduced,completed,45,51,48
male,group D,associates degree,standard,none,61,69,57
female,group B,high school,standard,none,64,63,72
male,group A,bachelors degree,free/reduced,none,36,55,48
female,group E,some high school,standard,none,51,53,60
female,group D,some college,standard,completed,74,90,84
female,group D,masters degree,standard,none,75,76,89
male,group B,masters degree,standard,none,84,84,82
female,group E,bachelors degree,free/reduced,completed,53,69,64
female,group D,some high school,standard,none,68,59,55
female,group A,associates degree,standard,completed,31,55,41
male,group B,high school,standard,none,78,84,82
male,group E,high school,standard,completed,79,92,85
female,group B,high school,free/reduced,completed,81,89,78
female,group A,associates degree,standard,completed,96,97,96
male,group E,masters degree,standard,completed,67,70,80
female,group B,some high school,free/reduced,none,87,91,88
female,group C,associates degree,standard,none,66,73,60
female,group A,high school,free/reduced,none,39,42,38
female,group A,bachelors degree,free/reduced,none,79,84,84
female,group A,some college,free/reduced,none,34,36,38
female,group C,associates degree,standard,none,68,70,70
female,group C,associates degree,standard,none,85,90,77
male,group D,some high school,free/reduced,none,62,69,83
female,group B,some high school,standard,none,96,100,100
male,group D,associates degree,standard,completed,27,42,45
male,group B,high school,free/reduced,none,67,68,70
female,group C,some college,free/reduced,none,72,69,69
male,group C,some high school,standard,none,44,48,48
female,group D,high school,standard,none,43,51,48
male,group E,bachelors degree,standard,completed,48,62,54
female,group D,some high school,free/reduced,none,48,52,47
female,group B,high school,free/reduced,none,62,78,61
female,group D,high school,standard,completed,61,63,70
male,group A,some college,standard,none,67,72,75
female,group B,some college,free/reduced,none,77,85,86
male,group B,bachelors degree,standard,none,73,82,73
female,group E,high school,standard,completed,56,56,56
male,group C,masters degree,free/reduced,none,68,70,68
female,group B,high school,standard,none,83,85,82
male,group C,some college,standard,none,77,69,75
female,group D,masters degree,standard,none,92,100,96
female,group A,some high school,standard,none,74,89,79
female,group E,some high school,free/reduced,none,96,96,95
female,group C,associates degree,standard,none,24,31,32
male,group B,some college,free/reduced,completed,68,69,73
female,group C,associates degree,standard,completed,61,56,71
male,group B,masters degree,standard,none,63,60,65
female,group C,some college,standard,completed,51,68,63
male,group B,bachelors degree,standard,none,75,84,75
female,group D,high school,standard,none,20,40,34
female,group B,bachelors degree,standard,none,77,81,83
male,group B,masters degree,standard,completed,49,61,68
female,group A,some college,standard,completed,60,66,64
female,group B,masters degree,free/reduced,none,74,70,76
male,group A,high school,free/reduced,completed,73,63,68
male,group E,some high school,free/reduced,none,82,92,82
female,group A,some high school,standard,completed,47,46,60
female,group D,masters degree,standard,completed,56,69,67
male,group A,associates degree,free/reduced,none,77,82,90
female,group E,some college,standard,completed,61,74,74
female,group D,some college,standard,none,69,78,73
female,group C,some high school,free/reduced,none,81,84,82
male,group C,bachelors degree,free/reduced,none,56,66,59
male,group A,high school,standard,none,56,62,62
female,group A,bachelors degree,standard,completed,73,90,71
female,group E,bachelors degree,free/reduced,completed,62,61,62
female,group E,masters degree,standard,none,70,87,92
male,group B,some high school,free/reduced,completed,65,78,69
female,group E,some high school,free/reduced,completed,59,60,63
female,group B,some high school,free/reduced,none,75,69,63
male,group D,masters degree,standard,completed,43,63,62
female,group A,associates degree,standard,none,76,86,76
male,group D,bachelors degree,free/reduced,completed,50,43,43
female,group E,masters degree,standard,none,80,91,90
female,group D,some college,free/reduced,none,70,84,75
female,group D,high school,standard,none,70,68,71
male,group D,associates degree,standard,completed,75,82,74
male,group E,some college,free/reduced,none,71,86,75
male,group D,bachelors degree,free/reduced,none,85,86,85
female,group B,some high school,free/reduced,none,95,99,83
male,group E,bachelors degree,free/reduced,completed,73,81,77
female,group D,masters degree,standard,none,53,53,60
female,group E,high school,free/reduced,none,55,59,59
male,group C,masters degree,free/reduced,none,67,67,75
female,group B,associates degree,standard,none,85,78,81
female,group D,associates degree,standard,completed,53,65,69
female,group C,high school,standard,completed,63,61,66
female,group C,some college,standard,none,92,100,90
female,group E,some college,free/reduced,none,64,62,77
male,group C,associates degree,standard,completed,52,66,57
female,group B,associates degree,standard,none,75,86,86
male,group B,some high school,standard,completed,60,66,68
male,group A,some college,standard,none,39,51,50
female,group B,high school,standard,completed,83,87,89
female,group C,some college,standard,none,53,67,62
female,group B,some high school,free/reduced,none,60,66,67
male,group E,masters degree,standard,completed,75,69,70
female,group A,associates degree,standard,none,63,71,74
male,group C,associates degree,standard,none,38,38,37
female,group A,some high school,free/reduced,none,53,68,62
male,group C,high school,standard,none,85,84,86
female,group E,associates degree,free/reduced,none,83,88,97
female,group A,bachelors degree,free/reduced,none,47,60,52
male,group D,associates degree,free/reduced,none,80,91,88
male,group C,bachelors degree,standard,none,54,62,54
female,group D,some high school,free/reduced,completed,56,64,58
male,group A,some high school,standard,none,56,65,80
female,group D,associates degree,free/reduced,none,59,75,73
male,group D,some college,standard,completed,82,87,86
male,group A,bachelors degree,standard,none,63,66,75
female,group E,high school,standard,none,64,71,74
female,group D,associates degree,standard,none,83,81,85
female,group D,high school,free/reduced,none,55,51,61
male,group E,associates degree,standard,none,61,61,62
male,group D,some college,standard,none,85,84,88
female,group D,some college,standard,none,71,73,75
female,group D,some college,free/reduced,none,52,52,65
male,group B,masters degree,free/reduced,none,41,46,37
male,group E,some college,free/reduced,none,73,73,76
male,group D,some high school,free/reduced,none,38,46,34
female,group E,some high school,standard,completed,67,64,64
female,group C,masters degree,standard,none,79,97,78
female,group C,bachelors degree,free/reduced,none,71,82,81
male,group D,high school,standard,none,30,38,38
female,group E,associates degree,standard,none,72,73,68
male,group E,associates degree,standard,none,60,73,71
female,group E,masters degree,standard,none,41,56,45
male,group B,some high school,standard,completed,69,69,58
male,group C,associates degree,free/reduced,none,43,58,64
male,group E,some high school,standard,completed,62,59,52
female,group E,bachelors degree,standard,none,67,70,66
female,group B,high school,standard,none,44,58,57
female,group B,bachelors degree,free/reduced,none,60,72,63
male,group E,masters degree,standard,none,54,65,57
male,group A,some college,free/reduced,none,51,67,53
male,group E,some college,free/reduced,completed,84,84,84
male,group E,some college,standard,none,84,79,79
male,group B,bachelors degree,free/reduced,completed,42,40,43
female,group B,associates degree,free/reduced,completed,64,79,86
male,group E,high school,free/reduced,none,84,85,93
female,group E,some college,free/reduced,none,85,100,91
female,group E,masters degree,standard,none,69,72,71
female,group B,masters degree,standard,none,48,58,53
female,group E,some college,standard,none,69,72,74
female,group E,some college,standard,none,54,61,56
male,group D,high school,free/reduced,none,64,65,55
female,group A,some college,standard,none,75,84,78
male,group C,high school,free/reduced,completed,53,53,57
female,group A,masters degree,free/reduced,completed,58,50,62
female,group D,some college,free/reduced,completed,78,76,82
female,group C,bachelors degree,free/reduced,none,93,98,99
female,group E,bachelors degree,standard,none,82,87,87
male,group D,masters degree,standard,none,83,79,75
female,group E,high school,standard,none,85,83,88
male,group B,bachelors degree,standard,none,68,70,77
female,group D,high school,standard,completed,78,82,81
male,group B,bachelors degree,standard,completed,78,98,84
male,group D,bachelors degree,free/reduced,none,41,51,50
male,group D,high school,standard,none,59,68,74
female,group B,associates degree,standard,none,63,64,63
female,group C,bachelors degree,free/reduced,none,67,75,65
female,group A,some college,standard,none,67,66,56
male,group E,masters degree,standard,none,78,77,82
female,group D,associates degree,free/reduced,none,50,62,52
female,group E,high school,standard,completed,59,52,56
male,group B,associates degree,free/reduced,none,60,64,61
female,group E,some high school,standard,completed,79,85,80
male,group B,some high school,free/reduced,none,62,65,66
female,group E,bachelors degree,standard,none,56,56,59
female,group A,bachelors degree,standard,none,62,66,51
male,group A,some college,standard,none,68,78,64
female,group A,masters degree,free/reduced,none,88,94,99
male,group A,associates degree,standard,completed,34,48,47
female,group A,some high school,standard,completed,69,82,69
female,group A,bachelors degree,free/reduced,none,76,87,71
male,group B,masters degree,free/reduced,none,42,59,57
male,group D,associates degree,standard,completed,93,95,92
male,group E,bachelors degree,free/reduced,none,79,85,75
female,group A,bachelors degree,standard,none,58,65,57
male,group B,some high school,standard,none,41,39,34
female,group B,some high school,standard,completed,72,65,74
female,group B,bachelors degree,free/reduced,completed,64,65,72
male,group D,high school,free/reduced,none,43,50,59
female,group E,bachelors degree,standard,completed,55,58,47
male,group D,masters degree,standard,completed,86,88,88
female,group C,bachelors degree,standard,none,30,42,39
